DFO Administrative Area,Species,Stock Management Unit Name,Full Stock Management Unit Index,SMU Life History Type,Conservation Unit Name,Full Conservation Unit Index,CU Life History Type,Conservation Unit Type
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,LOWER FRASER RIVER-UPPER PITT_SU_1.3,CK-05,,Current
FRASER AND INTERIOR,Chinook,,,,FRASER-HARRISON FALL TRANSPLANT_FA_0.3,CK-9008,,Bin
FRASER AND INTERIOR,Chinook,,,,FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION,CK-9006,,Bin
FRASER AND INTERIOR,Chinook,,,,FRASER-MISCELLANEOUS,CK-9004,,d
FRASER AND INTERIOR,Chinook,,,,BOUNDARY BAY_FA_0.3,CK-02,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,NORTH THOMPSON_SP_1.3,CK-18,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,UPPER FRASER RIVER_SP_1.3,CK-12,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,MIDDLE FRASER RIVER_SP_1.3,CK-10,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,MIDDLE FRASER-FRASER CANYON_SP_1.3,CK-08,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,LOWER FRASER RIVER_SP_1.3,CK-04,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,,LOWER THOMPSON_SP_1.2,CK-17,,Current
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,,SOUTH THOMPSON-BESSETTE CREEK_SU_1.2,CK-16,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,UPPER ADAMS RIVER_SU_1.x,CK-82,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,SHUSWAP RIVER_SU_0.3,CK-15,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,SOUTH THOMPSON_SU_0.3,CK-13,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,MARIA SLOUGH_SU_0.3,CK-07,,Current
FRASER AND INTERIOR,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,,HATCHERY EXCLUSION-LOWER FRASER RIVER,CK-9000,,Deprecated(Bin)
FRASER AND INTERIOR,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,,LOWER FRASER RIVER_FA_0.3,CK-03,,Current
FRASER AND INTERIOR,Chinook,OKANAGAN CHINOOK SALMON,CK-FIA-01,,OKANAGAN_0.x,CK-01,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,NORTH THOMPSON_SU_1.3,CK-19,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,SOUTH THOMPSON_SU_1.3,CK-14,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,MIDDLE FRASER RIVER_SU_1.3,CK-11,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,MIDDLE FRASER RIVER-PORTAGE_FA_1.3,CK-09,,Current
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,LOWER FRASER RIVER_SU_1.3,CK-06,,Current
FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-FIA-01,,FRASER CANYON,CM-01,,VREQ[Current]
FRASER AND INTERIOR,Chum,,,,INTERIOR FRASER,CM-9004,,Bin
FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-FIA-01,,LOWER FRASER,CM-02,,Current
FRASER AND INTERIOR,Coho,LOWER FRASER COHO SALMON,CO-FIA-02,,LILLOOET,CO-04,,Current
FRASER AND INTERIOR,Coho,,,,MIDDLE FRASER,CO-06,,Deprecated
FRASER AND INTERIOR,Coho,,,,LOWER FRASER-B,CO-03,,Deprecated
FRASER AND INTERIOR,Coho,,,,LOWER FRASER-A,CO-02,,Deprecated
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,INTERIOR FRASER,CO-48,,Current
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,NORTH THOMPSON,CO-09,,Current
